,children_no,children_yes,AF,age,yearsmarried,religiousness,education,occupation,rating,gender_female,gender_male
238,0,1,0,32.0,10.0,3,14,5,5,0,1
440,0,1,0,42.0,15.0,3,12,3,3,1,0
249,0,1,0,37.0,15.0,5,20,6,4,0,1
102,1,0,0,22.0,0.125,4,12,4,5,1,0
571,0,1,1,17.5,0.75,2,12,3,5,1,0
104,0,1,0,37.0,15.0,4,18,6,4,1,0
37,1,0,0,22.0,4.0,4,17,5,5,1,0
287,0,1,0,27.0,4.0,3,16,4,2,0,1
371,0,1,0,57.0,15.0,5,18,5,2,0,1
403,1,0,0,32.0,1.5,2,20,7,3,0,1
77,0,1,0,27.0,4.0,3,17,6,5,0,1
260,0,1,0,22.0,4.0,3,14,1,5,1,0
114,1,0,0,27.0,7.0,3,16,5,4,1,0
529,0,1,1,32.0,1.5,2,14,2,4,0,1
83,1,0,0,42.0,4.0,4,17,3,3,0,1
96,0,1,0,57.0,15.0,3,16,6,1,0,1
338,0,1,0,32.0,15.0,3,16,1,5,1,0
265,0,1,0,52.0,15.0,2,14,5,5,0,1
274,1,0,0,27.0,4.0,4,18,5,4,1,0
546,1,0,1,32.0,15.0,3,17,5,1,1,0
326,0,1,0,37.0,15.0,3,20,6,4,0,1
329,0,1,0,37.0,1.5,4,18,5,3,0,1
331,0,1,0,32.0,10.0,4,14,1,4,1,0
317,0,1,0,52.0,15.0,2,14,7,4,0,1
492,1,0,1,22.0,4.0,3,12,3,4,1,0
365,0,1,0,27.0,4.0,3,20,6,5,0,1
50,1,0,0,22.0,0.75,5,14,3,5,1,0
385,1,0,0,22.0,1.5,4,14,4,5,1,0
254,1,0,0,22.0,1.5,1,18,6,5,0,1
80,0,1,0,17.5,1.5,3,18,6,5,0,1
276,0,1,0,32.0,4.0,5,18,6,3,0,1
421,0,1,0,27.0,4.0,2,16,1,4,1,0
424,0,1,0,27.0,7.0,2,20,5,4,0,1
38,0,1,0,22.0,1.5,1,14,3,5,0,1
558,0,1,1,32.0,15.0,1,14,5,2,1,0
187,0,1,0,27.0,4.0,2,20,5,5,0,1
288,0,1,0,27.0,7.0,3,12,1,2,1,0
428,0,1,0,32.0,15.0,5,16,5,3,1,0
335,0,1,0,37.0,15.0,4,12,4,2,1,0
231,0,1,0,32.0,7.0,4,17,5,5,1,0
243,0,1,0,27.0,4.0,3,18,5,5,0,1
303,1,0,0,22.0,1.5,3,18,4,5,0,1
336,1,0,0,27.0,0.75,4,16,5,5,1,0
376,0,1,0,32.0,7.0,3,16,1,5,1,0
251,0,1,0,57.0,15.0,2,20,6,4,0,1
483,0,1,1,32.0,10.0,4,18,1,5,1,0
500,0,1,1,47.0,15.0,5,16,5,4,0,1
283,0,1,0,42.0,15.0,3,14,1,3,1,0
470,0,1,1,47.0,15.0,5,14,4,5,1,0
399,1,0,0,22.0,1.5,2,18,5,3,0,1
463,0,1,1,42.0,15.0,5,9,4,1,1,0
266,0,1,0,37.0,15.0,2,14,1,1,1,0
294,0,1,0,32.0,10.0,4,16,1,5,1,0
92,0,1,0,37.0,10.0,4,16,5,4,0,1
580,0,1,1,27.0,4.0,1,18,5,4,0,1
502,0,1,1,22.0,4.0,2,17,6,4,0,1
272,1,0,0,22.0,0.125,2,16,6,3,1,0
570,1,0,1,27.0,4.0,1,17,3,1,1,0
589,0,1,1,32.0,15.0,3,14,3,2,1,0
60,0,1,0,47.0,15.0,5,14,7,2,1,0
367,0,1,0,37.0,10.0,4,16,1,5,1,0
515,0,1,1,32.0,7.0,4,16,1,4,0,1
267,0,1,0,32.0,10.0,2,14,5,5,1,0
193,0,1,0,37.0,15.0,4,20,5,4,0,1
282,0,1,0,32.0,7.0,4,17,5,4,1,0
441,0,1,0,27.0,4.0,3,16,3,5,0,1
115,1,0,0,37.0,15.0,4,20,6,5,0,1
1,1,0,0,27.0,4.0,4,14,6,4,1,0
12,0,1,0,47.0,15.0,5,17,6,4,0,1
63,1,0,0,27.0,4.0,2,18,4,5,0,1
86,0,1,0,32.0,15.0,4,17,5,5,1,0
512,0,1,1,57.0,15.0,1,18,5,4,1,0
599,0,1,1,22.0,7.0,3,18,6,2,0,1
312,0,1,0,47.0,15.0,5,14,6,5,0,1
359,1,0,0,27.0,0.125,3,20,6,5,0,1
204,0,1,0,22.0,7.0,2,14,5,2,1,0
572,0,1,1,32.0,15.0,5,18,5,4,1,0
452,0,1,1,27.0,4.0,3,17,1,5,1,0
205,1,0,0,27.0,0.75,2,17,5,3,1,0
123,0,1,0,27.0,7.0,2,16,1,2,1,0
17,1,0,0,22.0,0.75,3,16,5,4,1,0
544,0,1,1,27.0,4.0,2,18,6,2,0,1
270,0,1,0,37.0,15.0,4,20,6,5,0,1
545,0,1,1,22.0,1.5,5,14,5,3,1,0
448,0,1,0,37.0,10.0,2,18,6,2,0,1
458,1,0,1,22.0,1.5,2,14,3,4,1,0
400,0,1,0,27.0,4.0,5,17,2,5,0,1
342,0,1,0,27.0,1.5,2,17,4,4,0,1
262,0,1,0,32.0,7.0,1,18,6,4,0,1
246,1,0,0,22.0,1.5,3,16,5,3,1,0
472,0,1,1,27.0,7.0,5,14,1,4,1,0
58,1,0,0,27.0,0.75,4,17,5,4,1,0
149,0,1,0,27.0,7.0,1,16,5,4,0,1
198,0,1,0,52.0,15.0,4,14,6,2,0,1
573,1,0,1,22.0,4.0,1,16,3,5,1,0
485,0,1,1,37.0,15.0,2,20,6,4,0,1
406,0,1,0,52.0,15.0,2,17,5,4,0,1
185,0,1,0,27.0,7.0,4,14,1,5,1,0
42,1,0,0,22.0,0.41700000000000004,5,14,1,4,1,0
61,0,1,0,37.0,10.0,3,20,6,4,0,1
339,0,1,0,27.0,10.0,2,16,1,5,1,0
480,0,1,1,32.0,10.0,4,14,1,4,1,0
352,1,0,0,22.0,0.125,5,16,4,4,0,1
378,1,0,0,22.0,0.75,3,16,1,5,1,0
29,0,1,0,27.0,4.0,3,17,5,4,1,0
508,0,1,1,32.0,7.0,2,18,4,1,0,1
155,0,1,0,42.0,15.0,4,20,6,3,0,1
67,0,1,0,47.0,15.0,3,17,6,5,1,0
4,1,0,0,22.0,0.75,2,17,6,3,0,1
9,1,0,0,22.0,1.5,4,14,4,5,0,1
213,1,0,0,27.0,0.75,2,17,5,5,0,1
416,1,0,0,57.0,15.0,4,20,6,5,1,0
531,0,1,1,32.0,10.0,3,14,5,4,0,1
377,0,1,0,47.0,15.0,3,16,5,4,1,0
161,0,1,0,27.0,4.0,2,18,5,5,1,0
347,0,1,0,27.0,7.0,3,16,6,3,0,1
85,1,0,0,22.0,0.41700000000000004,1,17,6,4,1,0
237,0,1,0,52.0,15.0,5,9,5,5,1,0
462,0,1,1,42.0,15.0,3,17,1,4,1,0
341,0,1,0,37.0,15.0,2,14,1,3,1,0
105,0,1,0,22.0,4.0,4,14,6,4,0,1
175,0,1,0,32.0,0.125,2,18,5,2,0,1
305,1,0,0,17.5,0.75,2,18,5,4,1,0
299,0,1,0,37.0,10.0,5,20,7,4,0,1
345,1,0,0,42.0,0.125,4,17,6,4,0,1
160,0,1,0,27.0,4.0,2,18,6,5,1,0
33,0,1,0,42.0,15.0,5,14,5,4,1,0
410,1,0,0,22.0,4.0,2,14,3,3,1,0
446,1,0,0,22.0,1.5,2,16,4,5,1,0
504,0,1,1,52.0,15.0,5,16,1,3,1,0
530,0,1,1,42.0,15.0,4,14,1,2,1,0
174,1,0,0,27.0,1.5,2,18,6,5,1,0
507,0,1,1,32.0,7.0,3,14,7,4,0,1
176,1,0,0,27.0,4.0,3,16,5,4,1,0
459,0,1,1,37.0,15.0,2,18,6,4,0,1
409,0,1,0,27.0,7.0,4,14,5,5,1,0
119,0,1,0,27.0,7.0,4,12,2,4,1,0
180,0,1,0,42.0,15.0,5,17,6,2,1,0
337,0,1,0,37.0,15.0,4,16,1,5,1,0
487,0,1,1,32.0,10.0,2,16,5,5,1,0
215,1,0,0,42.0,1.5,5,20,6,5,0,1
100,0,1,0,27.0,10.0,5,14,1,5,1,0
430,0,1,0,32.0,15.0,2,14,3,4,1,0
223,1,0,0,22.0,1.5,4,16,5,4,0,1
201,0,1,0,32.0,4.0,2,14,3,5,0,1
316,0,1,0,32.0,4.0,2,14,1,5,1,0
541,0,1,1,32.0,15.0,3,18,5,4,1,0
575,0,1,1,22.0,1.5,3,18,5,2,1,0
422,0,1,0,37.0,15.0,2,14,5,1,1,0
536,0,1,1,37.0,10.0,2,20,6,2,0,1
306,0,1,0,32.0,10.0,4,20,4,5,0,1
356,0,1,0,32.0,15.0,3,14,5,3,1,0
23,0,1,0,32.0,10.0,3,14,1,5,1,0
566,0,1,1,22.0,4.0,3,16,1,3,1,0
554,0,1,1,37.0,15.0,3,17,6,3,0,1
191,0,1,0,27.0,7.0,4,17,1,4,1,0
474,0,1,1,27.0,7.0,4,14,6,2,1,0
467,0,1,1,37.0,10.0,2,18,7,3,0,1
218,0,1,0,22.0,4.0,1,14,5,4,1,0
415,0,1,0,22.0,4.0,2,14,1,3,1,0
135,0,1,0,32.0,15.0,3,18,5,4,1,0
179,0,1,0,37.0,15.0,4,14,5,4,1,0
248,0,1,0,52.0,15.0,3,16,5,4,1,0
284,0,1,0,27.0,7.0,3,16,1,4,1,0
144,1,0,0,27.0,4.0,3,20,6,3,0,1
281,0,1,0,32.0,15.0,4,18,1,4,1,0
30,0,1,0,42.0,15.0,4,20,6,3,0,1
311,0,1,0,22.0,7.0,4,14,1,5,1,0
269,0,1,0,27.0,4.0,3,18,4,5,1,0
152,0,1,0,32.0,4.0,2,18,5,3,0,1
74,0,1,0,32.0,15.0,1,14,5,5,0,1
56,0,1,0,22.0,1.5,5,16,4,4,0,1
72,1,0,0,22.0,0.125,2,12,5,5,1,0
547,0,1,1,42.0,15.0,2,12,1,2,1,0
111,0,1,0,37.0,15.0,4,17,6,5,1,0
190,1,0,0,22.0,0.75,3,17,4,5,0,1
473,0,1,1,27.0,1.5,3,17,5,4,0,1
491,0,1,1,37.0,15.0,3,18,6,5,0,1
482,1,0,1,17.5,0.75,5,14,4,5,1,0
233,1,0,0,27.0,4.0,4,18,6,4,0,1
496,0,1,1,42.0,15.0,4,12,1,1,1,0
181,0,1,0,32.0,1.5,4,14,6,5,0,1
108,0,1,0,32.0,15.0,3,14,6,3,0,1
538,0,1,1,27.0,7.0,4,12,1,2,1,0
173,0,1,0,42.0,15.0,3,18,5,4,1,0
259,0,1,0,27.0,7.0,2,18,1,5,1,0
373,1,0,0,27.0,1.5,4,17,1,3,1,0
417,0,1,0,37.0,15.0,4,14,4,3,0,1
7,0,1,0,57.0,15.0,2,14,4,4,0,1
533,0,1,1,27.0,4.0,2,16,5,3,1,0
166,0,1,0,57.0,15.0,2,18,5,2,1,0
499,0,1,1,32.0,0.41700000000000004,3,12,3,4,0,1
534,0,1,1,42.0,15.0,3,14,4,3,1,0
200,0,1,0,32.0,4.0,5,14,3,5,0,1
177,0,1,0,27.0,10.0,2,16,1,4,1,0
178,0,1,0,32.0,7.0,4,16,1,3,1,0
484,0,1,1,32.0,7.0,2,17,6,4,1,0
521,0,1,1,27.0,7.0,3,17,5,3,1,0
184,0,1,0,22.0,0.41700000000000004,3,14,3,5,1,0
387,1,0,0,22.0,0.75,2,16,5,4,1,0
211,1,0,0,22.0,4.0,2,18,5,5,0,1
264,0,1,0,22.0,1.5,3,12,1,3,1,0
43,0,1,0,27.0,4.0,2,18,6,1,1,0
344,0,1,0,22.0,4.0,4,14,2,4,0,1
164,0,1,0,32.0,10.0,3,17,1,4,1,0
199,1,0,0,22.0,1.5,4,17,5,5,1,0
228,0,1,0,37.0,15.0,4,14,5,5,0,1
360,0,1,0,32.0,10.0,3,20,6,5,0,1
112,1,0,0,32.0,1.5,5,18,5,5,1,0
392,0,1,0,57.0,15.0,3,18,5,2,1,0
426,1,0,0,22.0,0.125,1,16,3,5,0,1
28,0,1,0,27.0,4.0,3,16,5,5,0,1
142,0,1,0,27.0,7.0,5,12,5,3,0,1
523,1,0,1,22.0,4.0,4,14,2,5,0,1
372,0,1,0,32.0,7.0,2,18,5,5,0,1
22,0,1,0,27.0,10.0,4,16,5,4,1,0
195,0,1,0,22.0,4.0,1,18,5,4,0,1
340,1,0,0,27.0,7.0,2,20,6,5,0,1
384,0,1,0,27.0,7.0,2,14,1,2,1,0
318,1,0,0,22.0,1.5,2,16,1,4,1,0
188,0,1,0,32.0,10.0,4,16,4,5,0,1
396,1,0,0,22.0,1.5,1,16,6,5,1,0
369,1,0,0,22.0,4.0,3,14,1,4,1,0
471,0,1,1,27.0,4.0,3,18,5,4,1,0
505,1,0,1,27.0,4.0,3,14,3,3,0,1
497,1,0,1,27.0,4.0,3,14,3,4,0,1
581,0,1,1,37.0,15.0,4,20,7,3,0,1
388,1,0,0,22.0,1.5,2,16,5,5,1,0
321,1,0,0,22.0,1.5,2,16,5,5,1,0
325,1,0,0,32.0,4.0,1,20,6,5,0,1
469,0,1,1,42.0,15.0,4,16,5,5,0,1
370,0,1,0,27.0,7.0,4,14,3,2,1,0
137,0,1,0,37.0,15.0,2,16,1,4,1,0
563,0,1,1,37.0,15.0,2,17,5,4,0,1
232,0,1,0,42.0,15.0,4,18,6,5,1,0
475,0,1,1,42.0,15.0,4,16,5,4,1,0
297,1,0,0,27.0,4.0,2,18,5,5,1,0
524,0,1,1,27.0,7.0,3,18,6,4,0,1
402,0,1,0,42.0,15.0,5,18,5,4,0,1
212,0,1,0,52.0,7.0,2,20,6,2,0,1
89,0,1,0,37.0,15.0,3,14,1,4,1,0
328,0,1,0,32.0,10.0,5,14,5,5,1,0
219,0,1,0,37.0,15.0,5,20,4,5,0,1
145,0,1,0,37.0,4.0,1,18,5,4,0,1
98,0,1,0,37.0,15.0,3,17,5,5,0,1
16,0,1,0,37.0,15.0,2,18,4,3,1,0
298,0,1,0,37.0,15.0,4,18,5,3,0,1
308,0,1,0,37.0,15.0,4,17,5,3,0,1
103,0,1,0,57.0,15.0,5,20,6,5,0,1
133,1,0,0,27.0,4.0,2,18,6,3,0,1
510,0,1,1,22.0,4.0,3,18,6,4,0,1
130,0,1,0,27.0,10.0,4,16,1,3,1,0
319,0,1,0,52.0,15.0,4,12,2,4,0,1
364,0,1,0,57.0,15.0,4,17,5,5,0,1
519,0,1,1,42.0,15.0,3,17,6,1,0,1
314,0,1,0,37.0,15.0,5,14,1,3,1,0
548,0,1,1,42.0,15.0,3,20,5,4,0,1
14,1,0,0,27.0,4.0,4,14,5,4,1,0
468,1,0,1,27.0,4.0,3,17,5,5,1,0
501,0,1,1,37.0,15.0,2,20,5,4,0,1
398,0,1,0,32.0,15.0,4,12,1,5,1,0
357,0,1,0,42.0,7.0,2,16,5,5,0,1
313,0,1,0,27.0,4.0,1,16,4,4,0,1
3,0,1,0,57.0,15.0,5,18,6,5,0,1
19,0,1,0,27.0,10.0,2,14,1,5,1,0
216,1,0,0,22.0,1.5,4,17,6,5,0,1
560,0,1,1,37.0,15.0,4,18,5,1,0,1
386,0,1,0,32.0,10.0,2,16,5,4,1,0
509,1,0,1,22.0,1.5,1,14,3,2,0,1
443,1,0,0,22.0,1.5,2,14,4,5,1,0
279,1,0,0,27.0,1.5,1,18,5,5,0,1
549,1,0,1,32.0,10.0,2,18,4,2,0,1
419,1,0,0,17.5,10.0,4,14,4,5,1,0
456,0,1,1,22.0,1.5,2,14,1,5,1,0
75,0,1,0,27.0,7.0,4,16,5,5,0,1
71,0,1,0,32.0,10.0,5,14,4,5,1,0
522,0,1,1,32.0,7.0,2,12,4,2,0,1
383,0,1,0,47.0,15.0,4,16,6,4,0,1
451,1,0,1,27.0,1.5,3,18,4,4,0,1
453,0,1,1,37.0,15.0,5,18,6,2,0,1
158,0,1,0,27.0,7.0,4,14,5,3,0,1
600,0,1,1,32.0,15.0,3,14,1,5,1,0
476,0,1,1,27.0,10.0,4,12,7,3,1,0
429,0,1,0,32.0,10.0,4,18,5,4,0,1
59,0,1,0,32.0,10.0,4,20,6,4,0,1
525,0,1,1,37.0,15.0,1,18,5,5,1,0
